smiles,id-num,id,database,db_id,similarity,caco2_wang,clearance_hepatocyte_az,clearance_microsome_az,half_life_obach,ld50_zhu,lipophilicity_astrazeneca,ppbr_az,solubility_aqsoldb,vdss_lombardo,ames,bbb_martins,bioavailability_ma,cyp2c9_substrate_carbonmangels,cyp2c9_veith,cyp2d6_substrate_carbonmangels,cyp2d6_veith,cyp3a4_substrate_carbonmangels,cyp3a4_veith,dili,herg,hia_hou,pgp_broccatelli,molecular_weight,formal_charge,clogp,heavy_atoms,h_bond_acceptors,h_bond_donor,rotatable_bonds,num_of_rings,molar_refractivity,number_of_atoms,topological_surface_area_mapping,vina_affinity
CCCCCNc1nc(Nc2ccc(O)cc2)c2cnn(C)c2n1,164,MCULE-5395415376-DMCH,MCULE-FULL,21579248,0.82323,-5.056796551,52.686790466308594,67.43482971191406,30.650249481201172,2.5237138271331787,2.347430706,91.44622039794922,-4.087208748,1.805046796798706,0.9534966349601746,0.861323357,0.9912341237068176,0.024938503,0.6886641979217529,0.1036496385931968,0.5312415361404419,0.9055373072624208,0.9910435676574708,0.5665774345397949,0.9965108036994934,0.999792755,0.029426472261548,326.1855093,0,3.414600000000001,24,7,3,7,3,95.70820000000003,24,87.89,-8.474
CCCCCNc1nc(Nc2cc(Cl)c(Cl)cc2Cl)c2cnn(C)c2n1,165,MCULE-5510637586-DMCH,MCULE-FULL,21581120,0.823,-5.397398472,62.386680603027344,35.968257904052734,50.17985916137695,2.674856185913086,2.103478193283081,96.59384918,-4.340104103,7.321379661560059,0.4902970492839813,0.6970613,0.9992479681968688,0.050547298,0.6969252824783325,0.008570704,0.1093024984002113,0.7910433411598206,0.9403788447380066,0.7049379348754883,0.9988117218017578,0.9997602105140686,0.3705437481403351,412.0736776480001,0,5.669200000000004,26,6,2,7,3,109.07340000000003,26,67.66,-8.545
CCCCNc1nc(Nc2ccccc2Br)c2cnn(C)c2n1,166,MCULE-2102168337-DMCH,MCULE-FULL,21568623,0.82286,-4.863629341,98.76692199707033,50.92088699,20.368417739868164,2.4629530906677246,2.6286237239837646,97.4883270263672,-3.793424606,4.858210087,0.566542387,0.8973978757858276,0.9991194605827332,0.0177048,0.736285388,0.016632151,0.175820305943489,0.98312646150589,0.2005168497562408,0.8487603068351746,0.7957780361175537,0.9996248483657836,0.034761053,374.0854567080001,0,4.081400000000002,23,6,2,6,3,97.12640000000005,23,67.66,-8.316
COCCNc1nc(Nc2cc(Cl)c(Cl)cc2Cl)c2cnn(C)c2n1,167,MCULE-6851239121-DMCH,MCULE-FULL,21573718,0.82277,-5.038941383,19.873884201049805,61.43970871,11.051752090454102,2.4636614322662354,3.057875871658325,98.80502319335938,-4.595080853,7.740118980407715,0.3140650987625122,0.8039131760597229,0.9988382458686828,0.080572627,0.4119555950164795,0.005125231,0.2576100528240204,0.9948246479034424,0.9506258964538574,0.9648359417915344,0.99771910905838,0.9992425441741944,0.083465591,400.0372921400001,0,4.125400000000003,25,7,2,6,3,101.42440000000003,25,76.89,-8.24
Cc1ccccc1Nc1nc(NCCC(C)C)nc2c1cnn2C,168,MCULE-4288012789-DMCH,MCULE-FULL,1881764,0.82274,-4.99353075,76.23054504394531,78.20126342773438,18.54923439025879,2.6310534477233887,2.9955666065216064,93.83419799804688,-3.722967386,3.6959340572357178,0.906235694885254,0.9974285960197448,0.9984958171844482,0.1193465888500213,0.6520550847053528,0.3311828374862671,0.8836670517921448,0.9999603033065796,0.3636822700500488,0.4536901712417602,0.9382624626159668,0.999619960784912,0.2260794192552566,324.20624476800003,0,3.8733200000000023,24,6,2,6,3,98.71040000000004,24,67.66,-8.996
COCCCNc1nc(Nc2cc(C)c(Br)cc2C)c2cnn(C)c2n1,169,MCULE-2375172270-DMCH,MCULE-FULL,21588053,0.82272,-4.96018219,33.28968811035156,66.47734832763672,54.89875411987305,2.498601198196411,2.3662545680999756,94.14437103271484,-4.513081551,8.570927619934082,0.6960594654083252,0.9978933930397034,0.9995705485343932,0.007479944,0.9470486044883728,0.0129498736932873,0.4785940945148468,0.9987369179725648,0.9886273741722108,0.2914900481700897,0.9998781681060792,0.9996353387832642,0.6256062388420105,418.11167145600007,0,3.9346400000000017,26,7,2,7,3,108.18540000000004,26,76.89,-8.619
CCCCCNc1nc(Nc2ccccc2O)c2cnn(C)c2n1,170,MCULE-9761299458-DMCH,MCULE-FULL,21579220,0.8227,-5.052895546,56.22505569458008,70.87976837158203,31.55150032043457,2.564124822616577,2.8595874309539795,91.89120483398438,-4.0727458,2.591310739517212,0.4469628036022186,0.5106295347213745,0.9984349608421326,0.0421787910163402,0.7118532061576843,0.0122269159182906,0.4237001240253448,0.9962331652641296,0.9884273409843444,0.6434887051582336,0.9944263696670532,0.9998028874397278,0.053412367,326.1855093,0,3.414600000000001,24,7,3,7,3,95.70820000000003,24,87.89,-8.387
CC(C)CCNc1nc(Nc2ccc(F)cc2)c2cnn(C)c2n1,171,MCULE-7628693113-DMCH,MCULE-FULL,21581626,0.82262,-4.808069706,72.78488159179688,65.65877532958984,7.611510276794434,2.5875983238220215,2.3037307262420654,93.98831176757812,-3.813268185,6.522343635559082,0.8983625173568726,0.9900548458099364,0.9986942410469056,0.026316886767745,0.424073189,0.5923289060592651,0.1657080948352813,0.9668272733688354,0.086082205,0.5771116614341736,0.9538124799728394,0.9999361038208008,0.0273383054882287,328.18117289200006,0,3.7040000000000015,24,6,2,6,3,93.93140000000004,24,67.66,-8.522
Cc1ccc(CNc2nc(NCCO)nc3c2cnn3C)cc1,172,MCULE-9485249852-DMCH,MCULE-FULL,7789563,0.82254,-5.262839794,59.16896057128906,51.22447204589844,4.178701877593994,2.338165283203125,2.387312173843384,76.73642731,-2.452328444,2.4923996925354004,0.2153573036193847,0.9359237551689148,0.9996669292449952,0.2008518129587173,0.010646647773683,0.2093515545129776,0.4686593115329742,0.956089735031128,0.1272224634885788,0.7176464200019836,0.9772079586982728,0.99986469745636,0.000531765,312.1698593,0,1.6880199999999996,23,7,3,6,3,90.3852,23,87.89000000000001,-8.596
Cc1ccc(Nc2nc(NCCCNC=O)nc3c2cnn3C)cc1,173,MCULE-9085351913-DMCH,MCULE-FULL,21598307,0.8225,-5.314608574,44.17210388183594,40.00204849243164,20.94812393188477,2.634143352508545,2.058927059173584,84.04643249511719,-3.60058856,0.7424736022949219,0.223311648,0.7806130647659302,0.9829634428024292,0.096628807,0.0224968437105417,0.4541375935077667,0.1122494265437126,0.9948651194572448,0.8280754685401917,0.7050989270210266,0.9941691160202026,0.9949177503585817,0.008150715,339.18075829200006,0,1.9633199999999993,25,7,3,8,3,97.93910000000004,25,96.76000000000002,-8.65
