smiles,id-num,vina_affinity,boltz_affinity_kcalmol,avg_affinity_pred_value,avg_affinity_probability_binary,combined_score
COCCCNc1nc(Nc2cc(C)c(Br)cc2C)c2cnn(C)c2n1,169,-8.619,7.666528223852317,0.379378135005633,0.1779992878437042,-8.142764111926159
Cc1ccc(Nc2nc(NCCCN(C)C)nc3c2cnn3C)cc1,217,-8.665,7.620135456442833,0.4133904278278351,0.2837263246377309,-8.142567728221415
CCN(CC)CCNc1cc(-c2ccc(OC)cc2)nc2ccccc12,151,-8.056,8.227210446596146,-0.0316792130470275,0.1259683035314083,-8.141605223298072
COCCCNc1nc(Nc2ccc(F)c(F)c2F)c2cnn(C)c2n1,109,-8.324,7.959028348018727,0.1649352287252744,0.1349945962429046,-8.141514174009362
COc1ccc(CNc2nc(Nc3ccccc3)c3cnn(C)c3n2)cc1,29,-9.48,6.798273218552271,1.0159287254015603,0.2142259031534195,-8.139136609276136
Cc1ccccc1Nc1nc(NCCC(C)C)nc2c1cnn2C,168,-8.996,7.274740399658681,0.6666126102209091,0.236635684967041,-8.13537019982934
Cc1cc(O)ccc1Nc1nc(NCCCCCO)nc2c1cnn2C,60,-8.591,7.669337767243386,0.3773183524608612,0.2508500516414642,-8.130168883621693
Cc1cc(O)ccc1Nc1nc(NCCCN(C)C)nc2c1cnn2C,14,-8.938,7.316207819461823,0.6362112760543823,0.2774574110905329,-8.127103909730913
OCCCNc1nc(NCCc2cccs2)nc2ccccc12,143,-8.573,7.6782328468362495,0.3707970331112544,0.2449703862269719,-8.125616423418125
COc1ccc(Nc2nc(NCCN3CCOCC3)nc3nccnc23)cc1,227,-8.701,7.549676119844119,0.4650468329588572,0.6768254240353903,-8.12533805992206
Cc1ccc(Nc2nc(N)c([N+](=O)[O-])c(NCC3CCCO3)n2)cc1,224,-8.81,7.438940195639929,0.5462315281232198,0.6246692140897115,-8.124470097819964
CC(C)CCNc1nc(Nc2ccccc2F)c2cnn(C)c2n1,64,-8.451,7.793718016172449,0.2861304866770903,0.1845068087180455,-8.122359008086224
CCCCNc1nc(Nc2ccc(O)cc2C)c2cnn(C)c2n1,120,-8.606,7.635119214172165,0.4024052682022254,0.310169314344724,-8.120559607086083
Cc1ccc(Nc2nc(NCCCO)c3ccccc3n2)cc1,5,-8.789,7.450373355468115,0.5378494461377462,0.4877233604590098,-8.119686677734057
COc1ccc(CNc2nc(Nc3cccc(C)c3C)c3cnn(C)c3n2)cc1,204,-9.871,6.359321794350943,1.3377406199773152,0.2249213109413782,-8.115160897175471
c1ccc(CNc2nc(NCC3CCCO3)c3ccccc3n2)nc1,244,-9.354,6.8682949132919315,0.9645931720733644,0.2151779582103093,-8.111147456645966
COCCNc1nc(Nc2ccccc2Br)c2cnn(C)c2n1,132,-8.229,7.990017827272416,0.1422156691551208,0.2738336275021235,-8.109508913636208
COc1ccc(Nc2nc(NCC3CCCO3)c3ccccc3n2)c(OC)c1,92,-9.289,6.929309191147486,0.9198612968126932,0.2651150574286778,-8.109154595573743
COc1ccc(Nc2nc(NCCCO)c3ccccc3n2)cc1,69,-8.729,7.483635966022811,0.5134633680184683,0.4594372014204661,-8.106317983011404
CC(C)CCNc1nc(Nc2ccccc2Cl)c2cnn(C)c2n1,101,-8.371,7.840428715189299,0.2518851061662038,0.225369835893313,-8.10571435759465
CCOCCCNc1nc(Nc2ccc(Br)c(C)c2C)c2cnn(C)c2n1,128,-8.907,7.292653221329054,0.6534800430138906,0.24983711540699,-8.099826610664527
CN(C)CCCNc1nc(Nc2ccc(F)cc2)c2nccnc2n1,10,-8.368,7.830381597399712,0.2592510282993316,0.5840684771537781,-8.099190798699857
COCCCNc1nc(Nc2cc(Cl)c(Cl)cc2Cl)c2cnn(C)c2n1,78,-8.345,7.839055079981685,0.2528921701014042,0.1551404620210329,-8.092027539990843
COCCNc1nc(Nc2ccc(C(C)C)c(C)c2)c2cnn(C)c2n1,262,-8.583,7.594498272220294,0.4321860174338023,0.2567071219285329,-8.088749136110147
Cc1ccc(Nc2nc(NCCCO)nc3c2cnn3C)c(O)c1,95,-8.409,7.766511930160225,0.3060762975364923,0.2197858542203903,-8.087755965080113
CCCCNc1nc(Nc2ccccc2F)c2cnn(C)c2n1,23,-8.654,7.508219902604819,0.4954399541020393,0.1923143217960993,-8.081109951302409
CC(=O)NCCNc1nc(Nc2ccc(Cl)cc2Cl)c2cnn(C)c2n1,140,-8.853,7.284913242260616,0.6591545144716898,0.2171425173679987,-8.068956621130308
Cc1ccc(Nc2ncc([N+](=O)[O-])c(NCc3ccccc3)n2)cc1,199,-8.878,7.258488457163176,0.6785275240739187,0.7141972978909811,-8.068244228581587
COc1ccc(CNc2nc(Nc3cccc(Cl)c3C)c3cnn(C)c3n2)cc1,206,-9.541,6.589840869903565,1.1687383651733398,0.2223856598138809,-8.065420434951783
CCCCc1ccc(Nc2nc(N3CCOCC3)c3[nH]cnc3n2)cc1,249,-8.465,7.656203746909897,0.3869473996261756,0.5784539182980856,-8.06060187345495
Clc1ccc(Nc2nc(NCCN3CCOCC3)nc3nccnc23)cc1,80,-8.713,7.405008845885596,0.5711078842480978,0.5155051747957865,-8.059004422942797
COCCNc1nc(Nc2ccc(OC)cc2)c2nccnc2n1,211,-8.017,8.10053139227132,0.0611939939359823,0.6408791343371073,-8.058765696135659
Cc1ccc(Nc2nc(NCc3ccco3)nc(N)c2[N+](=O)[O-])cc1,195,-8.745,7.369525627692542,0.5971219738324484,0.4772615134716034,-8.05726281384627
COc1ccc(Nc2nc(NCC3CCCO3)nc(C)c2[N+](=O)[O-])cc1,43,-8.32,7.781012984250983,0.295445026208957,0.4862097203731537,-8.050506492125493
COc1ccc(Nc2nc(NCCCO)nc3nccnc23)cc1,183,-7.99,8.106108448266983,0.0571052432060241,0.709223747253418,-8.048054224133491
c1ccc(Nc2nc(NCCN3CCOCC3)nc3nccnc23)cc1,13,-8.981,7.112411563952765,0.7856220205624899,0.5262518525123596,-8.046705781976382
COCCNc1nc(Nc2ccc(C)cc2O)c2cnn(C)c2n1,145,-8.276,7.802451109131178,0.2797279258569081,0.2680071542660395,-8.03922555456559
Cc1ccc(Nc2nc(NCCC(C)C)nc3c2cnn3C)cc1C,254,-9.056,7.018764336188635,0.8542783459027609,0.2334032654762268,-8.037382168094318
COc1ccc(CNc2cc(Nc3ccc(C)cc3C)nc(C)n2)cc1,247,-9.465,6.607120799223582,1.1560697952906291,0.2590665320555369,-8.036060399611792
Cc1ccc(Nc2nc(NCc3ccncc3)nc(N(C)C)n2)cc1,219,-8.89,7.175965847854814,0.739027970780929,0.300272136926651,-8.032982923927406
Cc1ccc(Nc2nc(NCc3cccnc3)nc(N(C)C)n2)cc1,268,-8.918,7.147357175104321,0.7600020710378885,0.2986676643292109,-8.03267858755216
Cc1cccc(Nc2nc(NCCCCCO)nc3c2cnn3C)c1,288,-8.136,7.919325882494451,0.1940426081418991,0.2281187176704406,-8.027662941247225
Cc1ccc(Nc2nc(NCCN(C)C)nc3c2cnn3C)c(O)c1,191,-8.644,7.407728355487189,0.569114108880361,0.2756323516368866,-8.025864177743594
CC(C)CCNc1nc(Nc2ccccc2O)c2cnn(C)c2n1,74,-8.547,7.504250810861588,0.4983498454093933,0.2550637026627858,-8.025625405430795
COc1ccc(Nc2nc(NCC3CCCO3)nc3[nH]ncc23)cc1,3,-8.336,7.703383507132531,0.3523581326007843,0.4832555055618286,-8.019691753566265
C=CCNc1nc(Nc2ccc(C(C)=O)cc2)c2cnn(C)c2n1,213,-8.329,7.709096049110095,0.3481700519720713,0.3563383469978968,-8.019048024555048
Cc1ccc(Nc2nc(NCCN3CCOCC3)nc3nccnc23)cc1,81,-8.865,7.172187225103379,0.7417982220649719,0.6279454032580057,-8.01859361255169
CCCCCCNc1nc(Nc2cc(C)c(Br)cc2C)c2cnn(C)c2n1,207,-9.05,6.9828947769006104,0.8805756767590841,0.2426855266094207,-8.016447388450306
COc1ccc(Nc2nc(NCc3ccccc3)c3nccnc3n2)c(OC)c1,255,-9.153,6.872120275497437,0.9617886543273926,0.4885150293509165,-8.012560137748718
COc1ccc(Nc2nc(NCc3ccccc3)nc3nccnc23)cc1,110,-9.128,6.890289661963782,0.948467989762624,0.4586091140906016,-8.00914483098189
Cc1ccc(Nc2nc(NCCN(C)C)nc3c2cnn3C)c(Br)c1,75,-8.535,7.469069726526738,0.5241424292325974,0.2698532392581304,-8.002034863263368
COCCCNc1nc(Nc2ccccc2F)c2cnn(C)c2n1,72,-8.332,7.653905722339949,0.3886321683724721,0.1420561522245407,-7.992952861169975
Cc1ccc(Nc2nc(NCCCNC=O)nc3c2cnn3C)cc1,173,-8.65,7.333349239428839,0.6236442526181539,0.2738600472609202,-7.99167461971442
Cc1cc(Cl)ccc1Nc1nc(NCCCN(C)C)nc2c1cnn2C,28,-8.675,7.296967106103898,0.650317370891571,0.2189852446317672,-7.985983553051949
CCCCNc1nc(Nc2ccc(F)cc2Cl)c2cnn(C)c2n1,105,-8.624,7.347494144638381,0.6132740875085195,0.2213980108499527,-7.985747072319191
COCCCNc1nc(Nc2ccc(O)cc2)c2cnn(C)c2n1,181,-7.962,8.009188232431809,0.1281611199180285,0.2957419157028198,-7.985594116215904
CCc1ccc(Nc2nc(NCC3CCCO3)nc3c2cnn3C)cc1,42,-8.889,7.081867229938507,0.8080152273178101,0.23100313047568,-7.985433614969253
CC(=O)NCCNc1nc(Nc2ccc(C)cc2O)c2cnn(C)c2n1,71,-9.083,6.883926036596299,0.9531334042549132,0.2009872198104858,-7.983463018298149
CCCCCNc1nc(Nc2ccc(O)cc2)c2cnn(C)c2n1,164,-8.474,7.489578954935074,0.5091063380241394,0.2760177205006281,-7.981789477467537
COC(=O)CCCNc1nc(-c2ccc(Cl)cc2)nc2c1CCCC2,161,-8.876,7.048448589722316,0.8325156966845194,0.1068409159779548,-7.962224294861158
Cc1c(Cl)cccc1Nc1nc(NCCCO)nc2c1cnn2C,179,-8.502,7.421049155791602,0.5593481262524923,0.2080214867989222,-7.961524577895801
CCN(CC)CCNc1nc(Nc2ccc(C)cc2O)c2cnn(C)c2n1,115,-8.479,7.441474610567093,0.5443734526634216,0.1881682028373082,-7.960237305283546
COc1ccc(Nc2nc(NCC(C)O)nc3c2cnn3C)c(OC)c1,148,-8.162,7.756538713892302,0.313388039668401,0.2001414944728215,-7.959269356946152
COc1ccc(Nc2nc(NCC3CCCO3)nc3c2cnn3C)cc1,152,-8.845,7.0713107359409335,0.8157545924186707,0.2322656561930974,-7.958155367970467
COc1ccc(Nc2nc(NCCO)nc3c2cnn3C)cc1,251,-8.129,7.783866872111957,0.2933527330557505,0.3116451203823089,-7.956433436055978
CC(C)CCNc1nc(Nc2ccc(I)cc2)c2cnn(C)c2n1,185,-8.635,7.274883929332098,0.6665073831876119,0.2905340194702148,-7.954941964666049
COCCCNc1nc(Nc2ccc(Br)c(C)c2C)c2cnn(C)c2n1,118,-8.448,7.4552176733414335,0.534297893444697,0.2459306567907333,-7.951608836670717
Cc1ccc(Nc2nc(NCCC(C)C)nc3c2cnn3C)cc1,31,-8.717,7.183541116714478,0.7334742546081543,0.2719852377971013,-7.950270558357239
CCCCNc1nc(Nc2ccccc2)c2cnn(C)c2n1,12,-8.405,7.493775861501694,0.5060294270515442,0.3151372124751408,-7.949387930750847
COCCNc1nc(Nc2cc(Cl)c(Cl)cc2Cl)c2cnn(C)c2n1,167,-8.24,7.656847169399262,0.3864756822586059,0.2453700055678685,-7.948423584699631
CC(C)CCNc1nc(Nc2cc(Cl)c(Cl)cc2Cl)c2cnn(C)c2n1,48,-8.666,7.218561015566191,0.7077998419602712,0.1489924043416977,-7.942280507783096
COc1ccc(Nc2nc(NCCO)nc3nccnc23)cc1,153,-8.046,7.833102904086313,0.2572559354205926,0.6733930110931396,-7.9395514520431565
COCCCNc1nc(Nc2ccc(F)cc2Cl)c2cnn(C)c2n1,187,-8.336,7.536315414428712,0.4748420715332031,0.1884768952926,-7.936157707214356
COCCNc1nc(Nc2ccccc2Cl)c2cnn(C)c2n1,34,-8.278,7.582549990932147,0.4409457544485728,0.2437065988779068,-7.930274995466074
CCCCCNc1nc(Nc2ccccc2O)c2cnn(C)c2n1,170,-8.387,7.45602174439033,0.5337083985408148,0.3442023297150929,-7.9215108721951655
COCCNc1nc(Nc2ccc(Br)c(C)c2C)c2cnn(C)c2n1,112,-8.571,7.264775605638823,0.6739181776841482,0.1749401415387789,-7.917887802819411
COc1ccc(Nc2nc(NCCN(C)C)nc3nccnc23)cc1,54,-8.308,7.523118929723899,0.4845169136921565,0.6677151918411255,-7.91555946486195
COc1ccc(Nc2nc(NCc3ccccc3)c3nccnc3n2)cc1,113,-9.242,6.581194211483002,1.1750775575637815,0.2747738460699717,-7.911597105741501
CC(C)CCNc1nc(Nc2ccc(Br)cc2)c2cnn(C)c2n1,135,-8.699,7.123566675265631,0.7774437864621481,0.2649731735388438,-7.911283337632815
